"","termin_wycieczki","wyzywienie","organizator","region","miejscowosc","ocena_wycieczki","hotel_nazwa","hotel_gwiazdki","id_wycieczki","liczba_rezerwacji","cena_za_osobe","data_aktualizacji"
"1",2019-03-24,"All Inclusive","Rainbow","Teneryfa","Puerto Santiago",8.8,"Be Live Experience Playa la Arena",4.5,"180556",1577,3149,2018-12-23
"2",2019-03-24,"All Inclusive","Rainbow","Teneryfa","Costa Adeje",7.3,"Labranda Isla Bonita (ex. Adonis)",4,"359555",482,2399,2018-12-23
"3",2019-05-09,"All Inclusive","Itaka","Teneryfa","Puerto de Santiago",7.4,"Blue Sea Lagos De Cesar",4,"441958",521,2439,2018-12-23
"4",2019-03-29,"All Inclusive","Rainbow","Gran Canaria","Playa del Ingles",8.5,"IFA Buenaventura",3.5,"199799",308,2435,2018-12-23
"5",2019-03-11,"All Inclusive","Itaka","Costa del Sol","Motril",9.7,"Playa Granada Club Resort",4.5,"442032",155,2389,2018-12-23
"6",2019-03-07,"All Inclusive","Rainbow","Fuerteventura","Caleta de Fuste",7.8,"Costa Caleta",3.5,"192115",683,1914,2018-12-23
"7",2019-03-11,"All Inclusive","Itaka","Fuerteventura","Esquinzo",7.8,"SBH Club Paraiso Playa",4,"442043",295,2929,2018-12-23
"8",2019-05-09,"All Inclusive","Itaka","Teneryfa","Los Gigantes",7.6,"Allegro Isora (Barcelo Varadero)",4,"441948",201,2819,2018-12-23
"9",2019-05-09,"All Inclusive","Itaka","Teneryfa","Puerto de Santiago",8.8,"Be Live Experience Playa la Arena",4.5,"441951",1577,3199,2018-12-23
"10",2019-03-25,"All Inclusive","Itaka","Fuerteventura","Costa Calma",8.3,"R2 Pajara Beach",4,"442045",234,3059,2018-12-23
"11",2019-03-16,"bez wy¿ywienia","Exim Tours","Fuerteventura",NA,6.8,"Globales Costa Tropical",3,"498100",197,1229,2018-12-23
"12",2019-03-10,"All Inclusive","Rainbow","Teneryfa","Costa Del Silencio",7.6,"Palia Don Pedro",3,"258804",330,2171,2018-12-23
"13",2019-04-04,"bez wy¿ywienia","Exim Tours","Costa Brava","Malgrat del Mar",7.6,"H- Top Cartagonova",3,"510393",356,1049,2018-12-23
"14",2019-03-21,"œniadania i obiadokolacje","Atur","Costa Brava","Lloret de Mar",7.8,"Samba",3,"427027",2180,1548,2018-12-23
"15",2019-05-16,"œniadania","Itaka","Teneryfa","Santa Ursula",7.9,"La Quinta Park Suites",4,"466803",107,2279,2018-12-23
"16",2019-04-04,"bez wy¿ywienia","Exim Tours","Costa Brava",NA,7,"H- Top Summer Sun (ex. Sant Jordi)",3,"510424",1432,1049,2018-12-23
"17",2019-03-21,"All Inclusive","Rainbow","Fuerteventura","Morro Jable",9.4,"Labranda Cactus Garden",4,"447917",604,2185,2018-12-23
"18",2019-03-09,"All Inclusive","Itaka","Lanzarote","Costa Teguise",8.3,"Be Live Experience Grand Tequise Playa (ex. Occidental Gran)",4,"442053",292,3059,2018-12-23
"19",2019-03-14,"All Inclusive","Rainbow","Fuerteventura","Caleta de Fuste",7.1,"Elba Lucia Sport & Suite (ex Castillo de Elba)",3,"258803",379,1714,2018-12-23
"20",2019-04-04,"bez wy¿ywienia","Exim Tours","Costa Brava",NA,7.4,"H-TOP Royal Sun (Santa Susanna)",4,"510437",227,1149,2018-12-23
